scenario_id,conflict_bin,borda_winner_id,util_winner_id,maximin_winner_id,tie_size,borda_gap,dissimilarity,pareto_set_size,borda_winner_is_pareto,is_divergent,is_high_diversity,is_pareto_ge2,is_single_winner,is_monotonicity
143,medium,1,1,3,1,2.000000,0.388889,4,1,1,0,1,1,1,1
147,low,1,1,1,1,2.000000,0.388889,4,1,0,0,1,1,1,1
148,low,1,1,3,1,1.000000,0.361111,4,1,1,0,1,1,1,1
149,high,2,3,3,2,3.000000,0.472222,4,1,1,0,1,0,0,0
150,high,2,3,3,2,4.000000,0.444444,4,1,1,0,1,0,0,0
152,low,3,3,3,1,1.000000,0.361111,4,1,0,0,1,1,1,1
153,high,2,2,2,1,1.000000,0.611111,3,1,0,0,1,0,0,1
154,medium,2,2,2,1,2.000000,0.527778,3,1,0,0,1,0,0,1
155,low,1,1,1,1,2.000000,0.472222,4,1,0,0,1,1,1,1
157,high,3,2,3,1,1.000000,0.444444,4,1,1,0,1,1,1,1
158,high,3,2,3,1,1.000000,0.416667,4,1,1,0,1,1,1,1
160,low,3,3,3,1,1.000000,0.388889,4,1,0,0,1,1,1,1
161,medium,1,1,1,1,1.000000,0.416667,4,1,0,0,1,1,1,1
162,high,1,2,1,2,2.000000,0.388889,4,1,1,0,1,1,1,0
163,low,1,1,1,1,2.000000,0.500000,3,1,0,0,1,1,1,1
164,medium,1,1,3,1,1.000000,0.416667,4,1,1,0,1,1,1,1
165,high,2,2,3,1,2.000000,0.416667,4,1,1,0,1,0,0,1
166,high,2,2,3,1,2.000000,0.388889,4,1,1,0,1,1,1,1
168,medium,4,4,3,1,1.000000,0.361111,4,1,1,0,1,0,0,1
170,medium,2,2,2,1,1.000000,0.527778,3,1,0,0,1,0,0,1
171,medium,1,1,1,1,3.000000,0.583333,3,1,0,0,1,1,1,1
172,medium,1,1,1,1,2.000000,0.500000,4,1,0,0,1,1,1,1
174,high,2,2,3,1,1.000000,0.361111,4,1,1,0,1,0,0,1
175,medium,1,1,3,1,1.000000,0.416667,4,1,1,0,1,1,1,1
178,medium,1,1,1,1,2.000000,0.444444,4,1,0,0,1,1,1,1
180,low,1,1,3,1,3.000000,0.472222,3,1,1,0,1,1,1,1
181,high,1,1,3,3,4.000000,0.416667,4,1,1,0,1,1,1,0
182,medium,2,2,3,2,1.000000,0.388889,4,1,1,0,1,0,0,0
183,low,1,1,3,1,2.000000,0.388889,4,1,1,0,1,1,1,1
184,low,1,1,3,1,1.000000,0.361111,4,1,1,0,1,1,1,1
191,low,1,1,3,1,3.000000,0.472222,3,1,1,0,1,1,1,1
193,medium,3,3,1,1,2.000000,0.416667,4,1,1,0,1,0,0,1
194,medium,3,3,1,1,2.000000,0.444444,4,1,1,0,1,0,0,1
195,high,4,4,1,1,2.000000,0.444444,4,1,1,0,1,0,0,1
196,medium,4,3,4,1,1.000000,0.416667,4,1,1,0,1,0,0,1
198,high,3,3,3,1,2.000000,0.555556,3,1,0,0,1,1,1,1
199,medium,4,3,4,1,1.000000,0.444444,4,1,1,0,1,0,0,1
201,low,2,2,2,1,1.000000,0.444444,4,1,0,0,1,0,0,1
203,high,1,1,1,1,1.000000,0.361111,4,1,0,0,1,1,1,1
204,high,1,2,4,4,0.000000,0.333333,4,1,1,0,1,1,1,0
205,low,3,3,3,1,3.000000,0.444444,4,1,0,0,1,1,1,1
206,low,3,3,3,1,3.000000,0.472222,4,1,0,0,1,1,1,1
207,medium,4,3,4,1,1.000000,0.416667,4,1,1,0,1,0,0,1
209,medium,3,3,1,1,3.000000,0.444444,4,1,1,0,1,1,1,1
210,medium,3,3,4,1,3.000000,0.472222,4,1,1,0,1,1,1,1
211,medium,4,3,4,1,1.000000,0.416667,4,1,1,0,1,0,0,1
212,medium,3,3,4,2,4.000000,0.444444,4,1,1,0,1,0,0,0
213,high,3,3,3,1,3.000000,0.611111,3,1,0,0,1,1,1,1
214,high,3,3,3,1,3.000000,0.638889,3,1,0,0,1,1,1,1
216,high,3,3,3,1,1.000000,0.555556,3,1,0,0,1,1,1,1
217,medium,2,2,2,2,3.000000,0.472222,4,1,0,0,1,0,0,0
218,medium,2,2,2,2,4.000000,0.444444,4,1,0,0,1,0,0,0
219,high,1,2,1,4,0.000000,0.333333,4,1,1,0,1,1,1,0
220,high,3,3,4,1,1.000000,0.361111,4,1,1,0,1,1,1,1
221,medium,3,3,3,1,4.000000,0.527778,3,1,0,0,1,1,1,1
222,medium,3,3,3,1,4.000000,0.555556,3,1,0,0,1,1,1,1
223,medium,3,3,4,2,4.000000,0.444444,4,1,1,0,1,0,0,0
224,medium,3,3,3,1,1.000000,0.527778,3,1,0,0,1,1,1,1
225,medium,3,3,1,1,1.000000,0.388889,4,1,1,0,1,0,0,1
227,low,4,4,4,1,3.000000,0.472222,4,1,0,0,1,0,0,1
228,low,4,4,4,1,3.000000,0.444444,4,1,0,0,1,1,1,1
229,high,3,3,3,1,1.000000,0.500000,3,1,0,0,1,1,1,1
230,high,3,3,4,1,1.000000,0.527778,3,1,1,0,1,1,1,1
231,low,4,4,4,1,3.000000,0.472222,4,1,0,0,1,0,0,1
233,low,2,2,2,1,2.000000,0.416667,4,1,0,0,1,0,0,1
234,low,2,2,2,1,2.000000,0.388889,4,1,0,0,1,0,0,1
236,high,4,2,4,1,1.000000,0.361111,4,1,1,0,1,0,0,1
237,medium,3,3,3,1,2.000000,0.416667,4,1,0,0,1,1,1,1
238,medium,3,3,4,1,1.000000,0.444444,4,1,1,0,1,1,1,1
239,low,4,4,4,1,3.000000,0.444444,4,1,0,0,1,1,1,1
241,low,3,3,1,1,2.000000,0.388889,4,1,1,0,1,1,1,1
242,medium,3,3,1,1,2.000000,0.416667,4,1,1,0,1,1,1,1
243,high,4,1,1,1,1.000000,0.472222,4,1,1,0,1,0,0,1
244,medium,4,3,3,1,1.000000,0.444444,4,1,1,0,1,0,0,1
247,medium,4,3,3,1,1.000000,0.416667,4,1,1,0,1,0,0,1
249,low,1,1,2,3,4.000000,0.416667,4,1,1,0,1,1,1,0
250,low,2,2,2,2,1.000000,0.388889,4,1,0,0,1,0,0,0
253,low,3,3,3,1,4.000000,0.416667,4,1,0,0,1,1,1,1
255,medium,4,3,3,1,1.000000,0.444444,4,1,1,0,1,0,0,1
256,medium,3,3,3,2,3.000000,0.472222,4,1,0,0,1,1,1,0
